URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/CodeSystem/administration-subpotent-reason,5.0.0,active,"2.16.840.1.113883.4.642.4.2001",AdministrationSubPotentReason,Administration SubPotent Reason,"This value set is provided as an example. The value set to instantiate this attribute should be drawn from a robust terminology code system that consists of or contains concepts to support the medication administration process.","ValueSet/administration-subpotent-reason"
http://hl7.org/fhir/CodeSystem/medication-admin-status,5.0.0,active,"2.16.840.1.113883.4.642.4.2000",MedicationAdministrationStatusCodes,MedicationAdministration Status Codes,"MedicationAdministration Status Codes","ValueSet/medication-admin-status"
http://hl7.org/fhir/CodeSystem/medication-dose-aid,5.0.0,active,"2.16.840.1.113883.4.642.4.2075",MedicationDoseAid,Medication dose aid,"Medication dose aid","ValueSet/medication-dose-aid"
http://hl7.org/fhir/CodeSystem/medication-intended-performer-role,5.0.0,active,"2.16.840.1.113883.4.642.4.2074",MedicationIntendedPerformerRole,Medication Intended Performer Role,"Medication Intended Performer Role","ValueSet/medication-intended-performer-role"
http://hl7.org/fhir/CodeSystem/medication-statement-adherence,5.0.0,active,"2.16.840.1.113883.4.642.4.1981",MedicationStatementAdherenceCodes,MedicationStatement Adherence Codes,"MedicationStatement Adherence Codes","ValueSet/adherence-codes-vs"
http://hl7.org/fhir/CodeSystem/medication-statement-status,5.0.0,active,"2.16.840.1.113883.4.642.4.1980",MedicationStatementStatusCodes,MedicationStatement Status Codes,"MedicationStatement Status Codes","ValueSet/medication-statement-status"
http://hl7.org/fhir/CodeSystem/medicationrequest-intent,5.0.0,active,"2.16.840.1.113883.4.642.4.1378",MedicationRequestIntentCodes,MedicationRequest Intent Codes,"MedicationRequest Intent Codes","ValueSet/medicationrequest-intent"
http://hl7.org/fhir/CodeSystem/medicationrequest-status,5.0.0,active,"2.16.840.1.113883.4.642.4.1377",MedicationRequestStatusCodes,MedicationRequest Status Codes,"MedicationRequest Status Codes","ValueSet/medicationrequest-status"
http://hl7.org/fhir/administrative-gender,5.0.0,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/diagnostic-report-status,5.0.0,active,"2.16.840.1.113883.4.642.2.118,2.16.840.1.113883.4.642.4.236,2.16.840.1.113883.4.642.1.231",DiagnosticReportStatus,Diagnostic Report Status,"The status of the diagnostic report.","ValueSet/diagnostic-report-status"
http://hl7.org/fhir/encounter-diagnosis-use,5.0.0,active,"2.16.840.1.113883.4.642.4.2115",EncounterDiagnosisUse,Encounter Diagnosis Use,"Encounter Condition Use","ValueSet/encounter-diagnosis-use"
